Year,Stars,Position,Name,Class,Previous School,New School,,,
2020,2,C,Pierre Sow,RS JR,Hampton,Virginia State,,,
2019,2,C,Pernell Adgei,RS N/A,Longwood,Virginia State,,,
2019,2,SG,B.J. Fitzgerald,JR,Norfolk State,Virginia State,,,
2019,2,PG,Jonathan Norfleet,JR,Wagner,Virginia State,,,
2018,2,PF,"Kevin Holmes, Jr.",RS N/A,Maryland Eastern Shore,Virginia State,,,
2018,2,PF,Azariah Sykes,N/A,Morgan State,Virginia State,,,
2018,2,PG,C.J. Wiggins,N/A,North Carolina Central,Virginia State,,,
2017,2,PG,Jalen Jackson,RS N/A,UT Martin,Virginia State,,,
2021,4,SG,Armaan Franklin,SO,Indiana,Virginia,,,
2021,2,PF,Jayden Gardner,JR,East Carolina,Virginia,,,
2020,2,SF,Trey Murphy III,JR,Rice,Virginia,,,
2019,3.7,SF,Sam Hauser,RS SR,Marquette,Virginia,,,
2018,4,PF,Braxton Key,N/A,Alabama,Virginia,,,
2017,2.3,PG,Nigel Johnson,RS N/A,Rutgers,Virginia,,,
2020,2,SG,Dominic 'D.J.' Brewton,SO,Alcorn State,Vincennes University,,,
2020,2,PG,Jalen Harper,SO,Florida Gulf Coast,Vincennes University,,,
2019,2,PF,Matija Ilić,RS SO,Idaho State,Vincennes University,,,
2018,2,SF,Jordan Lyons,SR,Southern Utah,Vincennes University,,,
2017,3,SG,"Rodney Culver, Jr.",N/A,Ohio,Vincennes University,,,
2019,2,PG,Caleb Daniels,RS JR,Tulane,Villanova,,,
2018,2,SG,Joe Cremo,N/A,Albany,Villanova,,,
2021,2,PG,Kaelon Harkema,FR,Coppin State,Victoria College,,,
2021,2,PG,Kam Gibson,JR,Western Carolina,Vermont,,,
2021,2,SG,Finn Sullivan,JR,San Diego,Vermont,,,
2020,3.3,PF,Tomas Murphy,SR,Northeastern,Vermont,,,
2020,2.3,PG,Justin Mazzulla,SR,George Washington,Vermont,,,
2020,2,SF,Bernie Andre,SR,Northern Arizona,Vermont,,,
2019,4,C,Daniel Giddens,RS N/A,Alabama,Vermont,,,
2019,3,PF,Duncan DeMuth,JR,Oklahoma State,Vermont,,,
2021,3,SG,Marcus Tsohonis,SO,Washington,VCU,,,
2021,2,PF,"Jimmy Nichols, Jr.",RS SO,Providence,VCU,,,
2020,2,C,Brendan Medley-Bacon,JR,Coppin State,VCU,,,
2020,2,PF,Levi Stockard III,SR,Kansas State,VCU,,,
2018,3.3,PF,Michael Gilmore,RS N/A,Florida Gulf Coast,VCU,,,
2017,2,PG,Marcus Evans,RS N/A,Rice,VCU,,,
2017,2,PF,Khris Lane,RS N/A,Longwood,VCU,,,
2021,2,C,Andre Allen,SR,Southern,Vanguard University of Southern California,,,
2021,2,PG,Jordan Caruso,RS SO,California Baptist,Vanguard University of Southern California,,,
2019,2,SG,Kieran Hayward,RS SR,Massachusetts,Vanguard University of Southern California,,,
2019,2,SF,Aziz Seck,RS SR,Northern Arizona,Vanguard University of Southern California,,,
2017,2,C,Geremy McKay,RS N/A,Eastern Washington,Vanguard University of Southern California,,,
2017,2,SG,Mario Soto,RS N/A,Eastern Washington,Vanguard University of Southern California,,,
2021,4,PF,Terren Frank,FR,TCU,Vanderbilt,,,
2021,2,PG,Rodney Chatman,RS SR,Dayton,Vanderbilt,,,
2021,2,SG,Jamaine Mann,FR,Gardner–Webb,Vanderbilt,,,
2021,2,C,Liam Robbins,JR,Minnesota,Vanderbilt,,,
2020,4,PG,Issac McBride,RS FR,Kansas,Vanderbilt,,,
2019,4.3,SF,D.J. Harvey,RS JR,Notre Dame,Vanderbilt,,,
2019,2,C,Quentin Millora-Brown,RS SO,Rice,Vanderbilt,,,
2018,4,PF,Matthew Moyer,RS SR,Syracuse,Vanderbilt,,,
2017,3.3,SF,Matt Ryan,RS N/A,Notre Dame,Vanderbilt,,,
2017,2,C,Yanni Wetzell,RS N/A,St. Mary's (TX),Vanderbilt,,,
